nid	len
576683	1403
572469	1402
569656	1402
569226	1402
579474	1402
574070	1401
575934	1401
573464	1400
572477	1400
574285	1400
579013	1400
572323	1399
567845	1398
576857	1398
568740	1398
570078	1398
573418	1398
573087	1397
578746	1395
577129	1394
575901	1394
579642	1393
578956	1393
573335	1393
573336	1393
571950	1392
578503	1392
570431	1391
577856	1391
574146	1391
571257	1390
579961	1390
576693	1390
578507	1390
577760	1390
572453	1389
571700	1389
569732	1389
572675	1388
572479	1388
578927	1387
568463	1387
575455	1387
571223	1386
574039	1386
573415	1386
576513	1385
577253	1385
568703	1384
576368	1383
578247	1383
571706	1381
579488	1381
576726	1381
571398	1379
570121	1379
579659	1379
577423	1379
571341	1379
579029	1379
574171	1379
571356	1379
573802	1378
576666	1378
578473	1378
577274	1378
570900	1377
570393	1377
567676	1377
573615	1377
571870	1377
577269	1377
576512	1376
576001	1376
567691	1375
576663	1374
570027	1374
572668	1374
574399	1373
577220	1373
577563	1372
569225	1372
577937	1372
572709	1371
574376	1371
577789	1371
572021	1370
573384	1370
572460	1369
570483	1369
571820	1369
573630	1369
570559	1369
576528	1368
569311	1368
574564	1367
578971	1367
572331	1367
573462	1366
572467	1366
567818	1364
573465	1364
568877	1364
574325	1364
576677	1364
580309	1364
574219	1362
573521	1362
578732	1362
575973	1362
572447	1361
569298	1361
576754	1361
576653	1360
570543	1360
571889	1360
577268	1360
572153	1360
580146	1359
568911	1359
576649	1359
570547	1359
571396	1358
571973	1358
573320	1357
577426	1357
570283	1357
573410	1357
579057	1357
574464	1356
569516	1356
569050	1356
578566	1355
570904	1355
576219	1355
570172	1354
576832	1354
571212	1353
576530	1352
568721	1350
567716	1350
576835	1349
574289	1349
568730	1349
571553	1349
572354	1349
572871	1349
572889	1349
579522	1348
571141	1347
569232	1347
571640	1347
570002	1346
567789	1346
577293	1345
570513	1345
579513	1344
568813	1344
579040	1343
573717	1342
574603	1342
570022	1342
577265	1342
579327	1342
570558	1341
568900	1340
570517	1340
573348	1340
572119	1340
568439	1338
567938	1338
568498	1336
576721	1336
573476	1335
572468	1335
569535	1334
577521	1334
576687	1333
570673	1332
568918	1332
570535	1331
570560	1331
568558	1331
569084	1331
574531	1330
579417	1330
568693	1330
574408	1330
576459	1330
571352	1330
569110	1329
578371	1329
578235	1329
567817	1328
571220	1327
577396	1327
576480	1327
579778	1326
577227	1326
574208	1325
568582	1325
574184	1325
573463	1324
577652	1324
569738	1324
573404	1324
577879	1323
576448	1323
578863	1322
572554	1322
574438	1322
576052	1321
570428	1321
569443	1321
576358	1321
571823	1321
578506	1320
578385	1319
573047	1319
569054	1319
571127	1319
577781	1318
569713	1317
569048	1316
571639	1316
575479	1316
576509	1316
577800	1315
572546	1314
579475	1314
577953	1314
574124	1314
569086	1314
567544	1313
579315	1312
568574	1312
574504	1311
572471	1310
571363	1310
572676	1309
574513	1309
576570	1309
568666	1309
580197	1308
575932	1308
574516	1307
572842	1307
578926	1306
570487	1306
573379	1306
572637	1306
570892	1305
574492	1305
577834	1305
574541	1305
576701	1305
579525	1305
567567	1304
573991	1304
575399	1304
569471	1303
574387	1303
579359	1302
570436	1302
579960	1302
575935	1302
571131	1302
568341	1301
570514	1301
577911	1300
579510	1300
579809	1300
576267	1299
574506	1299
577874	1299
570715	1299
576390	1299
571170	1298
577328	1298
570541	1298
574469	1297
572706	1297
576984	1297
574481	1296
572736	1296
574028	1296
570450	1296
567705	1296
567819	1295
577339	1295
578695	1295
576719	1295
569112	1294
572483	1294
569448	1294
574286	1293
571589	1292
579014	1292
570883	1291
572680	1291
568586	1291
574032	1291
574547	1291
569244	1291
566448	1291
569123	1290
573993	1290
574548	1290
570546	1290
571148	1289
580115	1289
567848	1288
572301	1288
571277	1287
577917	1286
574239	1285
573216	1285
567660	1285
568799	1285
573458	1284
573586	1284
570567	1284
578533	1284
579589	1283
577848	1283
577952	1283
571062	1282
573378	1282
570566	1282
580345	1282
570895	1281
568868	1281
577660	1281
574060	1280
577424	1280
579756	1280
573385	1280
573934	1280
570001	1279
569504	1279
575662	1279
576708	1279
577755	1279
567808	1278
578207	1278
578500	1278
571424	1277
574550	1277
566478	1277
568833	1276
571843	1276
570568	1276
569551	1276
580141	1274
568883	1274
579431	1274
577749	1274
573473	1272
574308	1272
574374	1272
580028	1272
574491	1271
574455	1271
567882	1270
567884	1270
576163	1270
577189	1270
579796	1270
580312	1270
572462	1269
570674	1269
567661	1269
569241	1269
567719	1269
580523	1269
569264	1269
570551	1269
572352	1269
579538	1269
570366	1269
571399	1268
568920	1268
573911	1268
579077	1267
574270	1267
570960	1267
576363	1267
577244	1267
577560	1266
578963	1266
568288	1266
569316	1266
576526	1265
574517	1265
576673	1265
572803	1264
579041	1264
572488	1263
577364	1263
574342	1263
574119	1263
576171	1263
577507	1263
569238	1262
570651	1261
570396	1261
570844	1261
570857	1261
579578	1261
571705	1260
577863	1260
574302	1260
572083	1260
576192	1260
576990	1260
574435	1260
571366	1260
573994	1259
577955	1259
577275	1259
571142	1258
571777	1258
578807	1258
573448	1257
571609	1257
577501	1257
578847	1256
579967	1256
578792	1256
575516	1255
578595	1255
569652	1255
579479	1255
574418	1255
570107	1255
579594	1254
573987	1254
569894	1254
569469	1254
577924	1254
573339	1254
580272	1254
568056	1253
568829	1253
579585	1252
577556	1252
573990	1252
571952	1252
572681	1251
577861	1251
570481	1251
570515	1251
577963	1251
570540	1251
576458	1251
570829	1251
567551	1251
570734	1250
569257	1250
577819	1249
574112	1249
576176	1249
576710	1249
570831	1249
579551	1249
578528	1249
574444	1249
572398	1249
577786	1249
577542	1248
574263	1248
577746	1248
576373	1247
568451	1247
569038	1247
573996	1246
576766	1246
569433	1245
579441	1245
572552	1245
570408	1244
574303	1244
579052	1244
568572	1244
572688	1243
574012	1243
569464	1243
578174	1243
577504	1243
571060	1242
572633	1242
577361	1241
574406	1241
568842	1240
568081	1240
578850	1240
574310	1240
569726	1240
578945	1240
578230	1240
568323	1239
580524	1239
580554	1239
573986	1238
577359	1238
568184	1238
569514	1238
576729	1238
572702	1236
568719	1236
572682	1235
574034	1235
577635	1235
580017	1235
572869	1235
576217	1235
568027	1235
579549	1235
574561	1234
571573	1234
579039	1234
575848	1233
574357	1233
571053	1233
579597	1232
574246	1232
569170	1232
576976	1232
567684	1231
574203	1231
569158	1230
577876	1230
574598	1230
574125	1230
577744	1230
568720	1229
576527	1228
579098	1228
576425	1228
577730	1228
580306	1228
569227	1227
572328	1227
566458	1227
576450	1227
569036	1227
571854	1227
567883	1226
569776	1226
578062	1225
579101	1225
572887	1225
570896	1224
574540	1224
570476	1224
571799	1224
576675	1224
578739	1224
576223	1224
575997	1224
574487	1223
567577	1223
570650	1223
576460	1223
571150	1222
574602	1222
574249	1221
577832	1220
576824	1220
577111	1220
576094	1220
570493	1220
577790	1220
572678	1219
577552	1219
576862	1219
576538	1218
569037	1218
572877	1218
576727	1218
571698	1217
579502	1217
571826	1217
575923	1217
578565	1216
570469	1216
568974	1216
567881	1215
568712	1215
578726	1215
567722	1215
572876	1215
571852	1214
571178	1213
567612	1213
578669	1213
572320	1213
579496	1213
574383	1213
572168	1212
572715	1212
